window_id,attack_family,y_forecast,packet_rate,byte_rate,unique_dst_ips,unique_dst_ports,syn_ack_ratio,avg_pkt_size,dst_port_entropy,failed_conn_rate,fwd_psh_rate,avg_flow_duration
85,none,0,33581.884354,572714.918599,464,464,0.130526,287.714398,8.742565,0.0,0.122,22712824.64
86,dos,1,19714.825762,228569.758253,40,40,0.013043,786.107917,0.857074,0.0,0.004,2716070.312
87,dos,1,1074.724072,70183.033408,1,1,0.004762,850.545291,-0.0,0.0,0.0,2333690.27
88,dos,1,41.020434,55504.353986,1,1,0.004525,817.406484,-0.0,0.0,0.0,3106761.116
89,dos,1,42.069596,56572.488502,1,1,0.004695,843.842857,-0.0,0.0,0.0,3411923.704
90,dos,1,2038.731003,75246.4599,1,1,0.004464,811.328282,-0.0,0.0,0.0,3186476.746
91,dos,1,261.843414,1737.499922,1,1,0.001996,109.724098,-0.0,0.0,0.0,6965294.136
92,dos,1,46.892317,423.025305,1,1,0.001996,98.591084,-0.0,0.0,0.0,6621600.864
93,dos,1,512.880365,9074.67145,1,1,0.002667,564.841754,-0.0,0.0,0.0,17264891.302
94,dos,1,29.562934,43350.016014,1,1,0.004831,1217.866562,-0.0,0.0,0.0,30720988.272
95,dos,1,125.433793,50100.685458,1,1,0.004484,1203.75775,-0.0,0.0,0.0,33070599.876
96,dos,1,39.635037,57164.276879,1,1,0.00463,1199.709535,-0.0,0.0,0.0,32226724.808
97,dos,1,54.929932,81585.838792,1,1,0.004975,1241.492525,-0.0,0.0,0.0,29965891.478
98,dos,1,34.475869,49594.630188,1,1,0.004739,1203.442049,-0.0,0.0,0.0,31866445.34
99,dos,1,25180.520132,700199.453855,46,46,0.029197,415.618924,1.848416,0.0,0.006,9888831.948
100,none,0,10372.996823,607129.853197,4,4,0.162162,107.681878,1.301109,0.0,0.022,8774704.382
101,none,0,11972.03512,386594.096735,176,176,0.081712,182.848536,4.595782,0.0,0.04,17709510.51
102,none,0,2.137803,2019.064647,492,492,0.159681,400.313142,8.933784,0.0,0.158,30466259.524
103,none,0,4.133247,2381.367818,496,496,0.08982,353.46529,8.949784,0.0,0.088,31878232.364
104,none,0,38563.139811,847520.929418,306,306,0.188623,254.37862,6.585798,0.0,0.124,16166691.392
105,dos,1,26508.487056,578777.404742,44,44,0.088235,756.343622,0.922737,0.0,0.04,2481634.498
106,dos,1,16.117656,22020.873248,1,1,0.005236,904.077468,-0.0,0.0,0.0,2606962.656
107,dos,1,275.694935,85360.714272,1,1,0.005,872.171373,-0.0,0.0,0.0,2875356.966
108,dos,1,49.939965,61733.325058,1,1,0.004505,830.416671,-0.0,0.0,0.0,2806732.69
109,dos,1,44.592222,64077.177796,1,1,0.004651,832.326254,-0.0,0.0,0.0,3217089.06
110,dos,1,2.723135,2324.145312,1,1,0.002183,200.290059,-0.0,0.0,0.0,6418389.818
111,dos,1,67.628875,30463.133773,1,1,0.001996,38.00279,-0.0,0.0,0.0,5851539.634
112,dos,1,26.631704,31185.905462,1,1,0.002632,547.079758,-0.0,0.0,0.0,18658594.744
113,dos,1,51.291134,74510.728495,1,1,0.004566,1203.04203,-0.0,0.0,0.0,33510219.632
114,dos,1,881.103169,39442.872989,1,1,0.004878,1213.863914,-0.0,0.0,0.0,31625834.476
115,dos,1,13.760441,19805.176425,1,1,0.005076,1221.105989,-0.0,0.0,0.0,30671442.404
116,dos,1,51.003625,73833.646372,1,1,0.004525,1192.377213,-0.0,0.0,0.0,34318907.658
117,dos,1,50.983406,74160.601861,1,1,0.005348,1251.305331,-0.0,0.0,0.0,29422744.906
118,dos,1,11661.38689,251301.526444,39,39,0.12844,311.292308,2.199755,0.0,0.026,14269396.038
119,none,0,37968.252545,860726.099634,50,50,0.231481,162.315565,2.493737,0.0,0.048,16626570.736
120,none,0,3.337084,2990.521237,486,486,0.195609,376.304039,8.909784,0.0,0.194,26767149.092
121,none,0,2.017461,1577.015499,487,487,0.137725,404.030088,8.913784,0.0,0.136,32000633.706
122,none,0,3.216527,2477.613478,495,495,0.193613,422.837947,8.945784,0.0,0.192,34337873.526
123,dos,1,44324.644278,484734.348575,145,145,0.065574,556.500892,3.296463,0.0,0.038,2816452.126
124,dos,1,38.284884,54391.140156,1,1,0.004367,796.154486,-0.0,0.0,0.0,3308399.198
125,dos,1,69.493092,94272.630756,1,1,0.004237,766.471675,-0.0,0.0,0.0,3868633.158
126,dos,1,145.955138,150186.743706,1,1,0.004695,844.221375,-0.0,0.0,0.0,3445037.812
127,dos,1,60.550358,89486.167891,1,1,0.004587,839.652767,-0.0,0.0,0.0,3471124.578
128,dos,1,122.155031,130137.310929,1,1,0.004717,860.57038,-0.0,0.0,0.0,2901374.64
129,dos,1,43.997593,263.985555,1,1,0.001996,7.3442,-0.0,0.0,0.0,6361995.944
130,dos,1,92.157605,58865.022925,1,1,0.001996,19.605059,-0.0,0.0,0.0,5946086.89
131,dos,1,30.934133,43434.319752,1,1,0.003135,754.846555,-0.0,0.0,0.0,22050454.542
132,dos,1,48.759128,69978.162865,1,1,0.00463,1201.494879,-0.0,0.0,0.0,34210892.34
133,dos,1,61.732696,89935.546555,1,1,0.004386,1191.310382,-0.0,0.0,0.0,36070681.902
134,dos,1,118.276476,135949.210443,1,1,0.00431,1182.775951,-0.0,0.0,0.0,36509262.096
135,dos,1,290.778273,183958.850879,1,1,0.004444,1207.765431,-0.0,0.0,0.0,35492915.746
136,dos,1,97.39805,143646.280931,1,1,0.004975,1239.317301,-0.0,0.0,0.0,32088948.056
137,dos,1,20625.930061,667648.173978,17,17,0.009709,420.722928,1.311041,0.0,0.0,10022204.206
138,none,0,17736.820969,817073.190501,9,9,0.323529,107.223723,1.676802,0.0,0.064,8069432.764
139,none,0,32.764376,5565.984266,453,453,0.074725,337.869334,8.459518,0.0,0.066,29284032.19
140,none,0,9.382202,8265.531733,498,498,0.301397,403.230435,8.957784,0.0,0.3,26921390.084
141,dos,1,31614.447921,585800.247591,413,413,0.182628,300.873415,8.146952,0.0,0.162,20628651.68
142,dos,1,225.718554,95777.560145,1,1,0.004587,831.036462,-0.0,0.0,0.0,2929069.57
143,dos,1,88.967421,79971.907517,1,1,0.004608,819.33269,-0.0,0.0,0.0,2904087.492
144,dos,1,80.922026,108490.000506,1,1,0.004219,772.42109,-0.0,0.0,0.0,3316075.952
145,dos,1,66.378356,89326.130191,1,1,0.004525,810.367546,-0.0,0.0,0.0,2699034.896
146,dos,1,353.105252,51137.309223,1,1,0.004525,807.147372,-0.0,0.0,0.0,3394766.752
147,dos,1,15.976225,19062.789452,1,1,0.002625,367.034015,-0.0,0.0,0.0,5631509.826
148,dos,1,2.255033,122.854773,1,1,0.001996,60.012219,-0.0,0.0,0.0,6148042.086
149,dos,1,65.658881,7904.950755,1,1,0.002049,166.591865,-0.0,0.0,0.0,10538889.0
150,dos,1,131.289908,132636.312151,1,1,0.004739,1211.006417,-0.0,0.0,0.0,33676116.784
151,dos,1,57.868954,82206.108489,1,1,0.004762,1206.211926,-0.0,0.0,0.0,33587131.174
152,dos,1,88.532863,127093.516031,1,1,0.004425,1185.900966,-0.0,0.0,0.0,36464657.856
153,dos,1,58.82194,83321.000792,1,1,0.004762,1206.647649,-0.0,0.0,0.0,34166905.936
154,dos,1,44.507141,64028.731612,1,1,0.004739,1214.248965,-0.0,0.0,0.0,34342669.104
155,dos,1,32399.665971,496806.468429,71,71,0.107692,859.254912,2.25013,0.0,0.054,26817866.604
156,none,0,7.332478,4422.741635,499,499,0.227545,401.113397,8.961784,0.0,0.226,33485596.516
157,none,0,3.065053,2651.570552,498,498,0.197605,388.889009,8.957784,0.0,0.196,33332987.864
158,dos,1,31385.649371,276623.782955,266,266,0.106101,434.248389,5.801972,0.0,0.078,14695844.052
159,dos,1,42.480884,54768.537887,1,1,0.004608,815.772036,-0.0,0.0,0.0,2980009.512
160,dos,1,72.014066,102754.015139,1,1,0.00463,840.418618,-0.0,0.0,0.0,3372393.548
161,dos,1,46.939068,63142.080504,1,1,0.004367,804.06195,-0.0,0.0,0.0,3218240.8
162,dos,1,49.562346,69846.684705,1,1,0.004902,860.670519,-0.0,0.0,0.0,3453310.742
163,dos,1,13.466468,18910.640083,1,1,0.00303,504.282552,-0.0,0.0,0.0,5170973.45
164,dos,1,2200.538696,13347.523186,1,1,0.001996,100.695781,-0.0,0.0,0.0,6459373.318
165,dos,1,1.230799,214.851386,1,1,0.001996,140.015445,-0.0,0.0,0.0,6184616.5
166,dos,1,172.308067,54699.049887,1,1,0.002967,781.690919,-0.0,0.0,0.0,25272798.868
167,dos,1,54.788689,79283.304144,1,1,0.004525,1199.45691,-0.0,0.0,0.0,36075500.072
168,dos,1,205.868888,153748.696146,1,1,0.004274,1188.905558,-0.0,0.0,0.0,37876951.106
169,dos,1,42.496311,61637.997063,1,1,0.004762,1217.618047,-0.0,0.0,0.0,34380779.674
170,dos,1,50.819025,74199.700931,1,1,0.004831,1230.146939,-0.0,0.0,0.0,34127047.136
171,dos,1,51.818185,73634.851321,1,1,0.00463,1209.879094,-0.0,0.0,0.0,35612825.78
172,dos,1,32373.210375,879493.318177,27,27,0.159091,285.270521,1.480314,0.0,0.026,5764613.892
173,none,0,9745.560581,537367.359635,198,198,0.248227,210.106956,4.877874,0.0,0.138,14630357.07
174,none,0,9.575141,7223.665643,486,486,0.169661,419.628425,8.909784,0.0,0.168,32391363.032
175,none,0,1.815388,1338.556518,491,491,0.127745,375.144621,8.929784,0.0,0.126,31491319.784
176,dos,1,23489.965589,670985.869924,91,91,0.108303,675.301086,2.01814,0.0,0.058,6403729.506
177,dos,1,31.714534,44823.45767,1,1,0.004566,812.973373,-0.0,0.0,0.0,3585664.932
178,dos,1,1217.925763,49848.239767,1,1,0.00463,830.817325,-0.0,0.0,0.0,3757705.342
179,dos,1,24.051111,33646.578778,1,1,0.00463,827.93514,-0.0,0.0,0.0,3476116.966
180,dos,1,16.683378,23677.599162,1,1,0.003922,720.915102,-0.0,0.0,0.0,3769312.688
181,dos,1,1.272156,202.23954,1,1,0.001996,141.927281,-0.0,0.0,0.0,6505100.98
182,dos,1,2.127389,249.955238,1,1,0.001996,183.919144,-0.0,0.0,0.0,6265768.828
183,dos,1,28.174327,39548.934137,1,1,0.002817,715.026804,-0.0,0.0,0.0,22336103.06
184,dos,1,41.270727,59138.366617,1,1,0.004831,1213.183068,-0.0,0.0,0.0,34231230.004
185,dos,1,25.949054,37264.078053,1,1,0.004739,1207.063123,-0.0,0.0,0.0,34799981.17
186,dos,1,27.731094,39869.571084,1,1,0.004808,1209.502016,-0.0,0.0,0.0,34400397.738
187,dos,1,27.973302,41167.554775,1,1,0.005263,1235.447643,-0.0,0.0,0.0,31487519.138
188,dos,1,5599.160366,260528.667257,15,15,0.004975,1147.499811,0.561132,0.0,0.0,32272102.272
189,none,0,12072.766279,757134.275439,311,311,0.20743,300.80138,6.657254,0.0,0.132,26533519.614
190,none,0,4.406578,5146.880595,489,489,0.147705,376.176083,8.921784,0.0,0.146,32075612.08
191,none,0,4.117134,670.969709,487,487,0.131737,421.425894,8.913784,0.0,0.13,34599203.708
192,dos,1,13812.718375,339929.404488,154,154,0.076923,824.159647,3.519012,0.0,0.04,28191085.12
193,dos,1,121.780679,105093.444688,1,1,0.004902,1235.116701,-0.0,0.0,0.0,33262115.354
194,dos,1,69.340088,101969.743399,1,1,0.004587,1219.3748,-0.0,0.0,0.0,34833083.73
195,dos,1,75.479103,107459.757013,1,1,0.003623,1137.063326,-0.0,0.0,0.0,44731756.654
196,dos,1,60.922449,88840.929226,1,1,0.003546,1136.949518,-0.0,0.0,0.0,45310494.166
197,dos,1,293.644746,23722.117048,1,1,0.002494,544.331787,-0.0,0.0,0.0,18587731.476
198,dos,1,1208.427419,7479.999037,1,1,0.001996,173.972006,-0.0,0.0,0.0,6471335.35
199,dos,1,6.079079,384.976194,1,1,0.001996,237.459603,-0.0,0.0,0.0,8321024.326
200,dos,1,5.959118,7831.687578,1,1,0.00271,617.245269,-0.0,0.0,0.0,14203942.642
201,dos,1,133.179604,82122.214924,1,1,0.004717,861.500843,-0.0,0.0,0.0,3450276.176
202,dos,1,64.090215,91817.80279,1,1,0.004566,818.576368,-0.0,0.0,0.0,3373789.612
203,dos,1,99.09543,96888.216014,1,1,0.004237,762.794206,-0.0,0.0,0.0,3411897.81
204,dos,1,131.484496,95171.67404,4,4,0.005102,846.91255,0.062425,0.0,0.0,3534135.626
205,none,0,15277.446373,970129.243535,4,4,0.107143,77.147284,0.528706,0.0,0.004,903986.854
206,none,0,9986.921928,224766.224837,294,294,0.188791,322.209547,6.586315,0.0,0.126,25784432.85
207,none,0,12.228814,15355.393017,498,498,0.178879,487.447202,8.957784,0.0,0.164,30033591.63
208,none,0,33.012088,46142.353727,472,472,0.39185,810.249035,8.853784,0.0,0.248,17855886.864
209,dos,1,16500.619432,486352.745484,223,223,0.107623,396.747654,4.707914,0.0,0.094,15047597.436
210,dos,1,1.097364,227.768682,1,1,0.001996,185.435687,-0.0,0.0,0.0,7268542.332
211,dos,1,32.455645,47589.138831,1,1,0.003279,1095.576619,-0.0,0.0,0.0,39106179.55
212,dos,1,11.566586,16610.325495,1,1,0.003861,1160.864816,-0.0,0.0,0.0,41842893.436
213,dos,1,18.052475,26259.353654,1,1,0.00431,1189.493002,-0.0,0.0,0.0,37794798.708
214,dos,1,34.91534,50772.796475,1,1,0.004202,1189.047448,-0.0,0.0,0.0,39513436.396
215,dos,1,145.396412,21158.302233,1,1,0.004292,1194.731151,-0.0,0.0,0.0,38954368.57
216,dos,1,9.161892,7460.252309,1,1,0.002053,231.359968,-0.0,0.0,0.0,6823132.044
217,dos,1,17.186158,23753.01111,1,1,0.002597,492.028637,-0.0,0.0,0.0,5728559.122
218,dos,1,16.796282,23289.540826,1,1,0.004854,849.610007,-0.0,0.0,0.0,2441005.106
219,dos,1,38.678626,52655.7138,1,1,0.004785,850.808992,-0.0,0.0,0.0,3183685.382
220,dos,1,26.262515,36162.251393,1,1,0.004854,854.822392,-0.0,0.0,0.0,3573587.096
221,dos,1,4592.64986,217259.06657,77,77,0.091603,535.499222,2.829681,0.0,0.022,12091923.188
222,none,0,15.278469,20695.772471,451,451,0.164835,689.895882,8.769784,0.0,0.118,22215489.674
223,none,0,6.048181,7071.535156,462,462,0.0775,597.939853,8.813784,0.0,0.06,27917790.48
224,none,0,17.900836,20025.423402,465,465,0.200495,638.021246,8.825784,0.0,0.16,26167694.628
225,dos,1,14543.342594,326913.212164,415,415,0.215,532.897505,8.386786,0.0,0.17,25290444.172
226,dos,1,1.473527,205.818765,1,1,0.001996,155.193439,-0.0,0.0,0.0,6229352.702
227,dos,1,2229.618645,25660.71416,1,1,0.002004,142.810629,-0.0,0.0,0.0,6580878.348
228,dos,1,5.838585,7275.34838,1,1,0.002174,372.216396,-0.0,0.0,0.0,17652635.824
229,dos,1,41.732349,60734.276461,1,1,0.004032,1174.686504,-0.0,0.0,0.0,42287585.862
230,dos,1,25.572119,37268.974121,1,1,0.003937,1165.763258,-0.0,0.0,0.0,43745378.642
231,dos,1,9.715297,14242.745637,1,1,0.004219,1195.343022,-0.0,0.0,0.0,41486789.036
232,dos,1,25.689399,37562.470959,1,1,0.004016,1164.78581,-0.0,0.0,0.0,43973528.704
233,dos,1,37.037668,52824.625857,1,1,0.004,1039.799881,-0.0,0.0,0.0,32589477.05
234,dos,1,42.345669,58146.97179,1,1,0.005076,874.291868,-0.0,0.0,0.0,2742258.888
235,dos,1,38.103568,51245.74753,1,1,0.005155,898.744216,-0.0,0.0,0.0,3212217.698
236,dos,1,37.907391,46419.741479,1,1,0.004587,831.604066,-0.0,0.0,0.0,2977668.17
237,dos,1,46.853301,66280.260701,1,1,0.004444,786.565069,-0.0,0.0,0.0,3832355.432
238,dos,1,21192.895366,993755.219451,10,10,0.055556,123.65215,0.767433,0.0,0.002,829982.624
239,none,0,10600.490176,435304.874654,125,125,0.252688,255.291858,3.813631,0.0,0.092,13700367.336
240,none,0,20.594029,28529.128922,478,478,0.170732,676.290899,8.877784,0.0,0.124,22074244.12
241,none,0,16.130171,17036.605935,479,479,0.113022,568.184594,8.881784,0.0,0.09,28395550.764
242,none,0,16.532539,19738.558466,474,474,0.095361,627.208944,8.861784,0.0,0.072,25028629.428
243,dos,1,40581.386182,833383.00961,250,250,0.117371,348.10476,5.319554,0.0,0.098,13382538.932
244,dos,1,0.821799,144.119527,1,1,0.001996,98.820899,-0.0,0.0,0.0,7533045.842
245,dos,1,1.768607,117.057902,1,1,0.001996,64.718955,-0.0,0.0,0.0,6055944.116
246,dos,1,587.956222,173858.987921,1,1,0.002882,820.682338,-0.0,0.0,0.0,39745752.66
247,dos,1,59.37426,85077.236719,1,1,0.003788,1150.942329,-0.0,0.0,0.0,46064779.814
248,dos,1,48.323149,69510.422083,1,1,0.004032,1182.27633,-0.0,0.0,0.0,44280452.55
249,dos,1,23.941215,34344.551053,1,1,0.003704,1140.930993,-0.0,0.0,0.0,48361495.38
250,dos,1,23.688646,34167.919884,1,1,0.003663,1144.64709,-0.0,0.0,0.0,49101724.78
251,dos,1,71.08395,97279.415148,1,1,0.004167,829.089571,-0.0,0.0,0.0,10437510.064
252,dos,1,64.202513,88460.437254,1,1,0.004673,850.668088,-0.0,0.0,0.0,3330363.964
253,dos,1,44.328318,63042.711256,1,1,0.004608,832.834285,-0.0,0.0,0.0,3002607.736
254,dos,1,25.429363,34337.429437,1,1,0.004762,835.330426,-0.0,0.0,0.0,3058364.802
255,dos,1,35.403967,45993.87556,1,1,0.004717,838.577319,-0.0,0.0,0.0,2987221.612
256,dos,1,29529.994239,1385134.571822,212,212,0.192513,497.312271,5.313374,0.002,0.07,9047321.318
257,none,0,31.502753,42882.185902,477,477,0.227882,681.964794,8.873784,0.0,0.168,29844513.616
258,none,0,22.508508,31624.506569,469,469,0.118457,613.862052,8.841784,0.0,0.084,21337145.602
259,none,0,2744.124026,168613.536861,460,460,0.122222,592.546489,8.804275,0.0,0.086,21916124.014
260,none,0,13637.760189,563725.055912,13,13,0.038462,149.009812,1.686942,0.0,0.002,18124154.548
261,dos,1,36974.815407,839296.479572,76,76,0.041558,42.655353,2.427614,0.0,0.03,8635021.83
262,dos,1,2.779539,16.677236,1,1,0.001996,7.3386,-0.0,0.0,0.0,6380695.602
263,dos,1,124.524203,6967.08976,1,1,0.002237,292.405344,-0.0,0.0,0.0,17970877.122
264,dos,1,644.316987,158825.913446,1,1,0.003774,1156.782451,-0.0,0.0,0.0,47186937.468
265,dos,1,19.982415,28883.135417,1,1,0.003968,1166.684273,-0.0,0.0,0.0,45492428.348
266,dos,1,18.388942,25539.508005,1,1,0.004098,1164.986772,-0.0,0.0,0.0,44907726.588
267,dos,1,1025.729514,43611.069319,1,1,0.003922,1150.132913,-0.0,0.0,0.0,46822959.53
268,dos,1,24.313669,34670.090339,1,1,0.004274,1037.174012,-0.0,0.0,0.0,27388840.438
